time_s,bag_time_s,mission_label,mission_state,frequency_hz,cmd.kind,cmd.label,cmd.max_retries,s1_position_rad,s1_velocity_rps,s1_current_a,s1_voltage_v,s1_mode,s2_position_rad,s2_velocity_rps,s2_current_a,s2_voltage_v,s2_mode
1.8078,1783622741.037564,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.8238,1783622741.05356,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.8399,1783622741.069587,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.8558,1783622741.085556,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.8718,1783622741.101567,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.8879,1783622741.1176,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.9039,1783622741.133601,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.9198,1783622741.149551,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.9358,1783622741.165556,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.9518,1783622741.181527,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,0.0,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.9678,1783622741.197533,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.9838,1783622741.213556,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,-0.002689999993890524,12.0,4.0
1.9998,1783622741.229523,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
2.0158,1783622741.245524,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
2.0318,1783622741.261535,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
2.0638,1783622741.293523,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
2.0798,1783622741.309532,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
2.0958,1783622741.325528,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,0.0,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
2.1118,1783622741.341508,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.005379999987781048,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
2.1278,1783622741.357485,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
